username,komentar,waktu,varian
D***i,produk original.. berfungsi dengan baik pengirimannya cepet banget,Lebih dari 1 tahun lalu,Varian: Hijau
Iwan,bagus dan cepat,Lebih dari 1 tahun lalu,Varian: Hijau
ibu,"produk sesuai dengan yang diharapkan, jadi semangat dan sering ngepel d rumah.. krna g pake ribet2 kalau mau ngepel",Lebih dari 1 tahun lalu,Varian: Hijau
Y***n,"langsung dipake nih 😁 suka pake alat pel ini. praktis. ga usah nyapu 🤭 meringankan pekerjaan mamak. usul dong, kainnya dibikinin refill-nya dong...",Lebih dari 1 tahun lalu,Varian: Hijau
Priyambudi,bagus.. beli yang kedua.. buat di lt atas.. ukuran compact jadi ngga menuh2in tempat,Lebih dari 1 tahun lalu,Varian: Beige
Ninies,Tks seller...🙏🙏,Lebih dari 1 tahun lalu,Varian: Hijau
ayu,Wowwww rekomended bgt,Lebih dari 1 tahun lalu,Varian: Hijau
Zach,barangnya bagusss,Lebih dari 1 tahun lalu,Varian: Beige
Y***n,Sellernya ramah. Barangnya emang bagus dan harganya murah. Makasi ya 🙏,Lebih dari 1 tahun lalu,Varian: Beige
Taufik,lebih murah dibanding di mall dan cepat nyampenya,Lebih dari 1 tahun lalu,Varian: Beige
Y***a,"ok & sangat praktis, sayangnya tdk ada lubang pembuangan dibawah, dan pegsngan hanya 1 sehingga agak susah diangkat",Lebih dari 1 tahun lalu,Varian: Hijau
M***y,"ini pembelian ke 2. pembelian pertama oke. tp kali ini ada missing part. follow up utk missing part lama. begitu dikirim kekurangan part-nya, warnanya beda dgn yg dibeli",Lebih dari 1 tahun lalu,Varian: Hijau
Mario,"Dimensi alat pel nya tidak sesuai dengan yang tertera di deskripsi. Pengiriman tertunda. Kualitas sesuai harga, tidak jelek dan tidak bagus"" amat. Thank you.",Lebih dari 1 tahun lalu,Varian: Beige
Priyambudi,ok lah.. sesuai harga.. buat pel2 yang ringan,Lebih dari 1 tahun lalu,Varian: Beige
Nanik,bagus..bersih buat ngepel..😉,Lebih dari 1 tahun lalu,Varian: Beige
Muhammad,Kualitas barang sih bagus cuma pengirimannya Saja yg lama lain kali bila ada kendala kirim pembeli di infokan,Lebih dari 1 tahun lalu,Varian: Hijau
Anne,tidak ada lubang pembuangan,Lebih dari 1 tahun lalu,Varian: Beige
Albertus,Sesuai ekspetasi,Lebih dari 1 tahun lalu,Varian: Hijau
F***l,Lama,Lebih dari 1 tahun lalu,Varian: Hijau
Lina,belum dicek dalemnya dan belum dipake. semoga sesuai dengan harapan saya,Lebih dari 1 tahun lalu,Varian: Hijau
Sayed,Kualitas sesuai harga,Lebih dari 1 tahun lalu,Varian: Hijau
K***n,"tutup tidak presisi, tidak bisa mengunci",Lebih dari 1 tahun lalu,Varian: Hijau
e***k,"barang sesuai harapan, cuma ember tipis ya, ya.... smga tahan lama. makasih",Lebih dari 1 tahun lalu,Varian: Hijau
P***r,penjual tidak responsif dan pengiriman lama,Lebih dari 1 tahun lalu,Varian: Hijau
Fariz,"Barangnya oke, cuman adminnya kurang responsif. Ditanya terkait pengiriman dibiarin sama bot. Sampe akhirnya disindir, baru jawab.",Lebih dari 1 tahun lalu,Varian: Beige
RULY,susah masukin ke tempat pelnua,Lebih dari 1 tahun lalu,Varian: Hijau
Y***n,tiangnya gak bisa masuk ke pel2annya.. tp gpplah diakalin aja..,Lebih dari 1 tahun lalu,Varian: Beige
s***y,"di prosesnya 5 hari, lelet banget 🥱🥱🥱",Lebih dari 1 tahun lalu,Varian: Beige
aryanto,Lambat di kurir.,Lebih dari 1 tahun lalu,Varian: Beige
mukhlis,bagus,Lebih dari 1 tahun lalu,Varian: Beige
I***a,Bagus banget,Lebih dari 1 tahun lalu,Varian: Hijau
A***h,"tingkatkan lg pengemasan nya ya, jgn kardus produknya aja, pakein bubble wrap gitu seenga nya biar aman, takut dibanting2 sm ekspedisi",Lebih dari 1 tahun lalu,Varian: Beige
A***l,"Kain pel nya sempet ga ada, setelah di komplain alhamdulillah di kirim lagi. Tolong kedepannya dicek dulu kelengkapan isi barang nya.",Lebih dari 1 tahun lalu,Varian: Hijau
F***z,barang sesuai deskripsi,Lebih dari 1 tahun lalu,Varian: Beige
S***a,Lama sampe barangnya. Ternyata kecil dan plastik kurang kokoh. Lapisan pel juga tipis dan pakai pengerat lem. Bisa digunakan sih. Lain kali kalo beli yg lebih mahal kali... ,Lebih dari 1 tahun lalu,Varian: Beige
D***y,sesuai dengan harga,Lebih dari 1 tahun lalu,Varian: Hijau
Wica,"ternyata kecil,tp bagus sih..",Lebih dari 1 tahun lalu,Varian: Beige
Lusi,"pada saat di lakukan Wash dan di lakukan Dry, bagian lap nya lepas2, tidak bisa menempel dengan baik.. hal ini selalu terjadi berulang2 walaupun sudah di tempelkan dengan... ",Lebih dari 1 tahun lalu,Varian: Hijau
Benny,Praktis. Bisa utk sapu n pel. Murah juga.,Lebih dari 1 tahun lalu,Varian: Hijau
rifky,barang sesuai harga pengiriman cepat packing rapih... barangnya aga tipis,Lebih dari 1 tahun lalu,Varian: Hijau
cindy,"pel nya ga bisa masuk mulus di ember,nyangkut terus",Lebih dari 1 tahun lalu,Varian: Beige
Titis,Perekatnya kurang kuat,Lebih dari 1 tahun lalu,Varian: Hijau
Putri,Bbeeeehhhhh Mantuk,Lebih dari 1 tahun lalu,Varian: Hijau
cecep,top,Lebih dari 1 tahun lalu,Varian: Hijau
I***a,barang sudah smpai dgn slmat..good seller.. thanks toped,Lebih dari 1 tahun lalu,Varian: Beige
Ramadhona,mantap,Lebih dari 1 tahun lalu,Varian: Hijau
Dewa,Ok banget kemasan nya...aman sampai rumah...,Lebih dari 1 tahun lalu,Varian: Hijau
F***y,"sesuai pesanan barang bagus ,maaf blm sempat foto barangnya sudah jd kado, terima kasih seller.",Lebih dari 1 tahun lalu,Varian: Hijau
Mr,mantul...,Lebih dari 1 tahun lalu,Varian: Hijau
ROROAJI,sangat mantap sekali,Lebih dari 1 tahun lalu,Varian: Beige
A***a,"GM Bear memang slalu bagus, udah bisa peras pelnya, bisa menjangkau ke sudut2 rumah.. makasih seller",Lebih dari 1 tahun lalu,Varian: Hijau
Rahul,"maaf baru kasih ulasan, barangnya bagus jdi ngk peras lagi klw mengepel 😁 meringankan banget pekerjaan rumah, pokoknya puas banget terima kasih🙏🙏",Lebih dari 1 tahun lalu,Varian: Hijau
Samuel,"Kualitas barang kurang baik. Ujung gagang pel tidak rata, agak melengkung, sehingga proses mengepel jadi sulit dilakukan.",Lebih dari 1 tahun lalu,Varian: Beige
S***i,"awalnya sempat ada bagian yg tdk terkirim, namun akhirnya terselesaikan dgn sangat baik. kualitas produk sangat baik, mudah digunakan dan sangat membantu, kereeeen👍👍",Lebih dari 1 tahun lalu,Varian: Hijau
dhiyahannie,"barang sampai sesuai pesanan dan tidak ada yang damage, pengiriman cepat, seller fast respond, kualitas juga bagus.",Lebih dari 1 tahun lalu,Varian: Hijau
Y***i,"Barang ini sesuai dgn yg diharapkan, bagus 👍",Lebih dari 1 tahun lalu,Varian: Hijau
Defintha,"gagangnya ringkih, lumayan deh",Lebih dari 1 tahun lalu,Varian: Hijau
N***i,barang ringkih bgt yaahh sesuai hrga,Lebih dari 1 tahun lalu,Varian: Hijau
locy,Josss markojossss,Lebih dari 1 tahun lalu,Varian: Hijau
Cindy,good banget murah pas diskon,Lebih dari 1 tahun lalu,Varian: Hijau
I***o,harga flash sale.. trims,Lebih dari 1 tahun lalu,Varian: Hijau
Agus,Barang sesuai pesanan,Lebih dari 1 tahun lalu,Varian: Hijau
Hendri,tks seller,Lebih dari 1 tahun lalu,Varian: Beige
Eka,brgnya sesuai dtgnya cepat tpi sayang ga ada petunjuk pemakaiannya,Lebih dari 1 tahun lalu,Varian: Hijau
F***a,"Halus kain pel nya, bagus sebenernya idenya tpi produknya kurang keker jd klo peres kain pel nya masih basah & suka kelepas dari perekatnya, mungkin peras manual aja,... ",Lebih dari 1 tahun lalu,Varian: Beige
Melly,butut gays aslina butut,Lebih dari 1 tahun lalu,Varian: Hijau
W***h,"pengiriman cepat, packing rapi dan barang sesuai..",Lebih dari 1 tahun lalu,Varian: Hijau
A***f,masukin ke pengering agak susah,Lebih dari 1 tahun lalu,Varian: Hijau
Alvis,pengiriman cepat tapi didalam tempat air nya ga ada pembuangan air nya.. tapi dgn harga segitu worth it bgt seh,Lebih dari 1 tahun lalu,Varian: Hijau
Sely,"barang sesuai pesanan,dan cepat sampai, Terimakasih",Lebih dari 1 tahun lalu,Varian: Hijau
Gio,sesuai ekspektasi,Lebih dari 1 tahun lalu,Varian: Hijau
Arkan,"alat pel/mop yang baik, kecil ringkes dan ringan, namnun penutupnya agak sering terlepas bila akan dipakai dalam mengeringkan atau membilas kainnya. so far dengan harga s... ",Lebih dari 1 tahun lalu,Varian: Beige
Asep,pengirimn cepat barang oke kurir rama thanks tokopedia,Lebih dari 1 tahun lalu,Varian: Hijau
D***i,"barang sudah diterima dgn baik, dan berfungsi dgn baik.. plastik bawah ternyata cukup dipasang aja dengan benar, gak perlu sekrup juga gak bakalan copot.. terus soal wada... ",Lebih dari 1 tahun lalu,Varian: Hijau
n***l,"Pesan warna beige, dikirim hijau. Tolong lebih teliti lagi klo jualan.",Lebih dari 1 tahun lalu,Varian: Beige
lina,lumayan lah,Lebih dari 1 tahun lalu,Varian: Hijau
j***c,"penggunaan ribet, krn kain pelnya terlipat terus",Lebih dari 1 tahun lalu,Varian: Hijau
Ayufitriani,"pengiriman cepet banget ternyata, pesan malem paginya dikirim, tidak ada cacat sama sekali, trims",Lebih dari 1 tahun lalu,Varian: Beige
Ramdani,lumayanlah barangnya... ada harga ada kualitas... respon seller cepat... mantaplah...,Lebih dari 1 tahun lalu,Varian: Beige
Dewi,udah sampe maksih berfungsi smua oke,Lebih dari 1 tahun lalu,Varian: Beige
Monica,"Packing rapi, barang sesuai pesanan dan isi lengkap. Terima kasih GM Bear dan Tokopedia",Lebih dari 1 tahun lalu,Varian: Beige
Heru,agak kotor sih pas dibuka.. tp bagus koq,Lebih dari 1 tahun lalu,Varian: Hijau
Ridwan,"barang sesuai gambar. tidak ada manual booknya, blm dicoba utk ngepel",Lebih dari 1 tahun lalu,Varian: Hijau
Siska,sangat bagus pengirimannya express kemarin malam di pesan besok pagi jadi diproses kirim sakpe gak sampe nunggu besoknya loh. cepet banget respon Sellernya. barangnya jug... ,Lebih dari 1 tahun lalu,Varian: Hijau
Luciana,paket sudah sampai respon penjual cepat dan kurirnya juga ramah terimakasih GM Bear👍👍👍👍👍,Lebih dari 1 tahun lalu,Varian: Hijau
Indah,warna yg di request beda sama yg di kirim. minta warna beige yg di kirim hijau. beli ini buat dikasih orang. semoga orgnya suka. untuk seller lain kali di cek lahi ya seb... ,Lebih dari 1 tahun lalu,Varian: Hijau
V***a,"produk berfungsi baik, sesuai deskripsi, layanan cepat packing rapi, cepat sampai, harga miring",Lebih dari 1 tahun lalu,Varian: Hijau
i***h,Pengiriman lama bgt. Sampe lupa kl order.,Lebih dari 1 tahun lalu,Varian: Beige
Muri,Kecapatan pengiriman😁👍,Lebih dari 1 tahun lalu,Varian: Hijau
Jeanne,👍👍👍👍,Lebih dari 1 tahun lalu,Varian: Beige
magfirah,alhamdulillah sesuai dengan pesanan warna hijau tosca bismillah semoga awet aamiin,Lebih dari 1 tahun lalu,Varian: Beige
S***i,proses pengiriman dr sellernya lama banget gagal kirim terus udah 1 minggu lebih,Lebih dari 1 tahun lalu,Varian: Beige
N***h,,Lebih dari 1 tahun lalu,Varian: Hijau
O***N,,Lebih dari 1 tahun lalu,Varian: Hijau
Elina,,Lebih dari 1 tahun lalu,Varian: Hijau
Noer,,Lebih dari 1 tahun lalu,Varian: Hijau
I***a,Barang diterima dengan baik,Lebih dari 1 tahun lalu,Varian: Beige
hadi,sesuai deskripsi,Lebih dari 1 tahun lalu,Varian: Hijau
kiky,suka barangnya bagus... tanganku jadi ga perlu kena air karbol biar ga kering,Lebih dari 1 tahun lalu,Varian: Beige
Abdurrahman,"respon cepat, barang oke...",Lebih dari 1 tahun lalu,Varian: Hijau
Regess,Barang tiba sesuai pesanan Barang komplit,Lebih dari 1 tahun lalu,Varian: Hijau
I***i,Mantab,Lebih dari 1 tahun lalu,Varian: Beige
Dodi,"sbnernya ni bntuk ukuran, bahan ud ok ckup buat sy.. cm ukuran lubang dry sgt extrem ***** ya jd gda ajas mnfaatnya.. jd klo dmasukin k dry otomatis psti lepas si kainnya... ",Lebih dari 1 tahun lalu,Varian: Hijau
Viena,sangat mengecewakan pesan dari tanggal 16 di tgl 23 baru sampe itupun barang udh ga kepake di tgl 23. payaahh,Lebih dari 1 tahun lalu,Varian: Hijau
H***a,terbaik,Lebih dari 1 tahun lalu,Varian: Beige
Hendra,puas,Lebih dari 1 tahun lalu,Varian: Beige
Tri,"sdh biasa beli di tokok ini, ga ada yg gagal, semua barang bagus 👍👍",Lebih dari 1 tahun lalu,Varian: Beige
Ferlia,"pengiriman nya sih lamaa beneeerr, kalo bisa mah ditingkatkan lagi. dan qualitas B aja kalo beli normal pasti gw sewooott untung nya promo. jd gak rugi2 amat.",Lebih dari 1 tahun lalu,Varian: Beige
A***a,pengirimannya mungkin bisa lebih baik lagi,Lebih dari 1 tahun lalu,Varian: Hijau
D***h,barangnya bagus,Lebih dari 1 tahun lalu,Varian: Hijau
fajrun,terima ksh seller dpt harga promo,Lebih dari 1 tahun lalu,Varian: Hijau
Ahmad,"josss....brang kualitas mantab, sesuai sma deskripsi produk, sellernya jga ramah & komunikatif",Lebih dari 1 tahun lalu,Varian: Hijau
Sri,barang mini bnget...dikira besar...tp Gpp semoga awet,Lebih dari 1 tahun lalu,Varian: Hijau
Rizky,keluar masuk susah kain mentok copot,Lebih dari 1 tahun lalu,Varian: Hijau
Daryanti,Adminya songong barang dikirim lama,Lebih dari 1 tahun lalu,Varian: Hijau
Soe,"Pelayanan tokonya bagus.. Untuk gratis ongkir, pas dengan yng mereka tulis 3-5hari baru diterima... saya terimanya h+4.. Kalau barangnya,, enak di pake, bersih, pelnya b... ",Lebih dari 1 tahun lalu,Varian: Beige
Rifqi,bagusss kurir cepet udah langganan pokoke best,Lebih dari 1 tahun lalu,Varian: Beige
SOC,"Ok barang dah nyampe, thank you",Lebih dari 1 tahun lalu,Varian: Beige
Komarudin,"pembelian kedua barang sejenis krn sangat praktis, meski masih agak basah alias tdk terlalu kering, tapi praktis dan dapat menjangkau sela2 almari dan tangan tetap bersih",Lebih dari 1 tahun lalu,Varian: Hijau
Rita,"Proses pengemasan cukup lama. Order Minggu, Senin-Selasa gagal dipick up, Rabu baru dikirim. Itu pun stlh dichat. Packing ga ada pengaman samsek. Lakban pun ngirit. Baran... ",Lebih dari 1 tahun lalu,Varian: Hijau
Raiza,"sesuai deskripsi, admin ramah",Lebih dari 1 tahun lalu,Varian: Hijau
F***i,"terimakasih......,.............................",Lebih dari 1 tahun lalu,Varian: Hijau
N***r,buaguss,Lebih dari 1 tahun lalu,Varian: Beige
G***t,Bagus,Lebih dari 1 tahun lalu,Varian: Hijau
Adik,kecil ternyata tapi kualitasnya lumayan sihh 😊,Lebih dari 1 tahun lalu,Varian: Beige
randue,"Pembelian ke 2, barangnya ada cacat :(",Lebih dari 1 tahun lalu,Varian: Hijau
Mamun,barang cepat sampai dan sesuai pesanan. recommend seller.,Lebih dari 1 tahun lalu,Varian: Hijau
MIFTA,"ada sedikit pecah, tp Masi bsa d pake aman kok",Lebih dari 1 tahun lalu,Varian: Hijau
Z***a,"respon penjual cepat, barang bagus sesuai deskripsi, barang juga dikemas dengan baik..",Lebih dari 1 tahun lalu,Varian: Hijau
F***n,lumayan sesuai hrg,Lebih dari 1 tahun lalu,Varian: Hijau
resya,sesuai pesanan,Lebih dari 1 tahun lalu,Varian: Hijau
Christofer,"makasih barang nya sudah datang,dan pengiriman nya juga cepat,cuman ada kotor dikit tapi gapapa",Lebih dari 1 tahun lalu,Varian: Hijau
N***y,"barang dtg sesuai pesanan,,pengiriman lumayan cpt,,cm packing aja kyk nya kurang soalnya pd penyok kardusnya,,untung isinya gk ada yg pecah,,mohon ditingkatkan lg,,dpt ke... ",Lebih dari 1 tahun lalu,Varian: Hijau
indrawati,bahannya kurang kokoh,Lebih dari 1 tahun lalu,Varian: Hijau
N***a,Ternyata kecil jg bucketnya diluar ekspektasi,Lebih dari 1 tahun lalu,Varian: Hijau
F***s,"Respon admin nya baik bgt, dan barang nya bagus. Pengiriman jg cepatt hihi",Lebih dari 1 tahun lalu,Varian: Hijau
Elvina,"Barang sesuai deskripsi, kualitas oke",Lebih dari 1 tahun lalu,Varian: Hijau
Rosita,"harganya murah banget, bahan bagus dan original, pengiriman dari seller cepat dan sellernya juga ramah.. thank you seller dan tokopedia buat pc gantengnya 💜💚",Lebih dari 1 tahun lalu,Varian: Hijau
Y***i,ok,Lebih dari 1 tahun lalu,Varian: Beige
R***h,barangnya oke... aman Fast Respon keren.. thanks yaa,Lebih dari 1 tahun lalu,Varian: Hijau
H***t,,Lebih dari 1 tahun lalu,Varian: Hijau
Merlani,,Lebih dari 1 tahun lalu,Varian: Hijau
kustripanjiw,,Lebih dari 1 tahun lalu,Varian: Hijau
Sudrajat,,Lebih dari 1 tahun lalu,Varian: Hijau
Rio,,Lebih dari 1 tahun lalu,Varian: Hijau
ruly,,Lebih dari 1 tahun lalu,Varian: Hijau
B***s,Pelayanan bagus dan cepat,Lebih dari 1 tahun lalu,Varian: Hijau
NASIR,oke untuk harga segihtu . sayng emeber ya kecil jadi susah,Lebih dari 1 tahun lalu,Varian: Hijau
Han,mantaf barang sesuai semoga awet. sukses slau lapakx.,Lebih dari 1 tahun lalu,Varian: Beige
TEGUH,ok,Lebih dari 1 tahun lalu,Varian: Beige
Andini,cepet pengirimannya.. tapi ada patah dikit di bagian deket busanya 😟,Lebih dari 1 tahun lalu,Varian: Hijau
Nur,pesen langsung kirim cepet bgt trimakasih,Lebih dari 1 tahun lalu,Varian: Hijau
Sari,"Alhamdulillah sudah sampai, packing aman dan mulus. mantap...👍🏻",Lebih dari 1 tahun lalu,Varian: Hijau
Teguh,"Barang mantap, pengiriman cepat",Lebih dari 1 tahun lalu,Varian: Beige
DESKA,PENGIRIMAN SUPEEERRRR CEPAT. PADAHAL BEBAS ONGKIR EXTRA KE PAPUA! 2HARI! SAMPE AMAZEEEEEEEDD! GOOD JOB,Lebih dari 1 tahun lalu,Varian: Hijau
Wirza,Barang Bagus dan Pengriman cepat,Lebih dari 1 tahun lalu,Varian: Beige
A***u,"kecil bgt ternyata, sayang padahal bahan plastik lumayan bagus, cuma kainnya sangat tipis",Lebih dari 1 tahun lalu,Varian: Hijau
C***n,"saya sudah bilang check kualitas barang sebelum kirim, emang dasar penjual barang sampah ya begini sambungan tiang dol, barang kotor bgt, packing seadanya. ini layanan t... ",Lebih dari 1 tahun lalu,Varian: Beige
Charlie,on time,Lebih dari 1 tahun lalu,Varian: Hijau
L***n,"kualitas barang bagus, pengiriman cepat",Lebih dari 1 tahun lalu,Varian: Hijau
alpha,puas,Lebih dari 1 tahun lalu,Varian: Hijau
i***a,"terima kasih.. saran aja mungkin bisa di cek bagian dalem nya kalo kotor bisa di bersihkan dulu, jadi kesan nya tdk seperti bekas pakai..",Lebih dari 1 tahun lalu,Varian: Hijau
I***s,"Barang sampai dengan selamat dan warna sesuai pilihan, kwalitas lumayan, walaupun bahan plastik agak tipis di bagian perasan kain pel nya, semoga awet karena ongkir nya l... ",Lebih dari 1 tahun lalu,Varian: Hijau
haryanti,"alhamdulillah, makasih utk semuanya , barangnya sdh sampai,",Lebih dari 1 tahun lalu,Varian: Hijau
Dwi,ok,Lebih dari 1 tahun lalu,Varian: Hijau
a***s,ok,Lebih dari 1 tahun lalu,Varian: Hijau
Achmad,"lumayan lah walau ga sesuai expetasi, respon dan pengiriman cepat",Lebih dari 1 tahun lalu,Varian: Hijau
Ponco,baguss,Lebih dari 1 tahun lalu,Varian: Hijau
jarno,bagus sesuai dengan pesanan,Lebih dari 1 tahun lalu,Varian: Beige
W***o,Mantap. Produk sesuai pesanan. Thanks,Lebih dari 1 tahun lalu,Varian: Hijau
B***e,Alhamdulillah barang sdh diterima.,Lebih dari 1 tahun lalu,Varian: Hijau
U***i,"Enak sih gampang ga usah meres, tp krn bentuknya pipih pas ada bagian debu halus yang gak kesapu lgsg nempel dan kotorannya ngumpul pas kena pel ini. Meskipun jadinya leb... ",Lebih dari 1 tahun lalu,Varian: Beige
fiqi,"kalo untuk tokonya keren lah, puas, cepet. cumak barangnya ada kurang nyaman pas dibagian pengering, pengering kurang berfunngsi apa saya yg gak bisa pakek?",Lebih dari 1 tahun lalu,Varian: Hijau
W***a,"Bagusssss alhamdulilah subuh order pagi udh sampe aja,kecil tapi bermanfaat..tq seller insyaallah next ada yg mau di order,trs tingkatkan kenyaman toko yah ka👏🏻👏🏻👏🏻... ",Lebih dari 1 tahun lalu,Varian: Hijau
Sarina,"makasih barang nya sesuai harapan,,,,",Lebih dari 1 tahun lalu,Varian: Hijau
maharani,"FAST respon fast shipping, thanks seller barang datang lengkap packing aman",Lebih dari 1 tahun lalu,Varian: Hijau
Wulan,lubangnya kesempitan bikin emosi jiwa :)) ga bisa masuk......,Lebih dari 1 tahun lalu,Varian: Hijau
Frans,produk sesuai dgn gambar kualitas ok pengiriman cepat,Lebih dari 1 tahun lalu,Varian: Hijau
Muh,"aku kira embernya besar, ternyata tidak but worth it.",Lebih dari 1 tahun lalu,Varian: Hijau
Dede,"Barang banyak cacatnya, bahkan ada bagian yg pecah",Lebih dari 1 tahun lalu,Varian: Hijau
Joseph,setiap kali memasukan kain pel ke dalam celah embernya selalu tersangkut. karena double tape tifak ditempel pada semua sisi papan pel,Lebih dari 1 tahun lalu,Varian: Hijau
Ostolaza,cepat,Lebih dari 1 tahun lalu,Varian: Hijau
Hanz,"Admin responsif, pengiriman cepat meskipun ke luar kota, alat pel nya imut dan praktis dipakainya",Lebih dari 1 tahun lalu,Varian: Hijau
R***h,"pengiriman cepat, barang oke bgt👍🏻👍🏻",Lebih dari 1 tahun lalu,Varian: Hijau
D***s,barangnya sudah q terima mksh ya mau q coba,Lebih dari 1 tahun lalu,Varian: Beige
enur,pas di masukin ke pengeringnya lapnya nyangkut,Lebih dari 1 tahun lalu,Varian: Hijau
A***m,"sesuai harga, semoga awet",Lebih dari 1 tahun lalu,Varian: Hijau
Irsan,Barang bagus. sesuai harga. pengiriman cepat.,Lebih dari 1 tahun lalu,Varian: Hijau
Ganjar,barang okee. sesuai yg diharapkan,Lebih dari 1 tahun lalu,Varian: Hijau
M***d,"barang sampai, kemasan rapi",Lebih dari 1 tahun lalu,Varian: Hijau
Muhammad,praktis irit air.ringan enak dipakai,Lebih dari 1 tahun lalu,Varian: Hijau
sofian,"Barang sesuai deskripsi, semoga awet",Lebih dari 1 tahun lalu,Varian: Hijau
Fadriq,"Barang sudah sampai tapi ada yang kurang tangkai nya tidak ada, ini kesalahan dari seller atau dari ekspedisi ya? mohon di konfirmasi percuma saya beli tapi tidak bisa di... ",Lebih dari 1 tahun lalu,Varian: Hijau
B***a,seller fast response pengiriman cepat top barang bagus 👍👍👍,Lebih dari 1 tahun lalu,Varian: Beige
Vannez,"Brg sdh diterima dlm kondisi baik,tp blm dicoba, sayang tdk ada bautnya",Lebih dari 1 tahun lalu,Varian: Beige
d***a,,Lebih dari 1 tahun lalu,Varian: Hijau
M***s,"mantabs..., real pict., sesuai estimasi, cuma blm di coba aja, terima kasih gan",Lebih dari 1 tahun lalu,Varian: Hijau
TazVita,Udah beberapa kali belanja di sini selalu memuaskan. Pengiriman cepat dan packing rapi.,Lebih dari 1 tahun lalu,Varian: Hijau
wikal,minimalist. i love it.,Lebih dari 1 tahun lalu,Varian: Hijau
Mathilda,ok,Lebih dari 1 tahun lalu,Varian: Hijau
w***y,mantap,Lebih dari 1 tahun lalu,Varian: Hijau
Nurdiyah,Trimakasih pesanan sudah diterima dg kondisi baik. dikasih lap pel nya 2.,Lebih dari 1 tahun lalu,Varian: Hijau
Laila,"Alhamdulillah barang sudah sampai, mulus, warna sesuai pesanan. langsung dipakai dan praktis banget. top banget",Lebih dari 1 tahun lalu,Varian: Hijau
Rachmat,sudah ke 4 x pesan nya.... puas banget barang nya,Lebih dari 1 tahun lalu,Varian: Hijau
Anita,ga sukaa,Lebih dari 1 tahun lalu,Varian: Beige
Vidya,Barang sampe dengan aman. Semoga barangnya awet :D,Lebih dari 1 tahun lalu,Varian: Hijau
A***o,"sellernya top!!! respon cepat, pengiriman rapi. tapi kalau barang agak kurang memuaskan. Service seller saya kasih 5 Bintang, tp barangnya cukup 3 Bintang",Lebih dari 1 tahun lalu,Varian: Hijau
Freddy,"Lagi dicoba produknya , optimis aja ngasih bintang 5",Lebih dari 1 tahun lalu,Varian: Beige
U***i,sesuai,Lebih dari 1 tahun lalu,Varian: Hijau
Novianda,Lumayaaaan,Lebih dari 1 tahun lalu,Varian: Hijau
c***a,lumayana laaah buat ngeringanin benan beberes seehari hari👍,Lebih dari 1 tahun lalu,Varian: Beige
Nur,"Lucuuu kecil mungil,, jdi nda makan tempat nyimpan nya.. Cepet bangettt sampeeenyaaaa padhal pesen nya baru Rabu sore.,, sabtu sore dah smpe😘😘😍😍😍",Lebih dari 1 tahun lalu,Varian: Hijau
Mathilda,ternyata kecil pel annya tapi ok kualitasnya,Lebih dari 1 tahun lalu,Varian: Hijau
wartam,"Biasa aj Barangnya, saat mau ngeringin alat pelnya juga nyangkut",Lebih dari 1 tahun lalu,Varian: Beige
Monardo,bagus dan saya belum pakai,Lebih dari 1 tahun lalu,Varian: Hijau
Wahyu,"bahannya bagus. tp tipis buat pel lantainya.. jd kerjanya gk bisa cepat dn optimal, karena rekatannya gampang lepas",Lebih dari 1 tahun lalu,Varian: Hijau
M***a,"barang bagus sesuai ekspektasi, terima kasih",Lebih dari 1 tahun lalu,Varian: Hijau
Sanny,"Sebetulnya semuanya bagus, mudah di pasang n wrnanya jg keren. Cuma sayang ukurannya terlalu kecil. Ini jatuhnya jadi mini kek alat pel anak2 ya 😃😃",Lebih dari 1 tahun lalu,Varian: Beige
n***y,barang sesuai deskripsi dan simple pakainya,Lebih dari 1 tahun lalu,Varian: Hijau
W***g,barangnya antik banget imut suka sih cuma kalo pas ngeringin terlalu sempit jadi kain ga bisa masuk apa karena masih baru yah he he he akhirnya aku peras manual hmmm ta... ,Lebih dari 1 tahun lalu,Varian: Hijau
R***a,"brang sesuai pesanan, pelapak respon nya cepat. mantap tambah maju bosku",Lebih dari 1 tahun lalu,Varian: Hijau
Nani,so far so good..👍👍,Lebih dari 1 tahun lalu,Varian: Hijau
TRI,bagus sesuai dengan yg di Poto,Lebih dari 1 tahun lalu,Varian: Beige
Riri,"Respon cepat, pengiriman semalam sampai, tapi ketika dicek penerima tidak ada lap mopnya, dan tidak kepikir video unboxing. Semoga bisa diperbaiki krn sy repot utk lapor... ",Lebih dari 1 tahun lalu,Varian: Hijau
Yuyunsyah,cepat bagus oje,Lebih dari 1 tahun lalu,Varian: Hijau
Y***a,"daripada yg model ada spinnernya, mending ini...yg spinner overtime keset dan rusak",Lebih dari 1 tahun lalu,Varian: Beige
Nasimin,kereeen parah bagus bngt semoga aweet,Lebih dari 1 tahun lalu,Varian: Hijau
R***y,"Produk bagus dan sesuai, respon Seller dan pengiriman cepat, pokoknya recommended seller..Mantul..",Lebih dari 1 tahun lalu,Varian: Hijau
D***s,packing okey banget barang bagus,Lebih dari 1 tahun lalu,Varian: Hijau
S***i,barang nya bagus banget... makasih ya,Lebih dari 1 tahun lalu,Varian: Hijau
I***l,kualitas nya kurang bagus gak sesuai dg foto,Lebih dari 1 tahun lalu,Varian: Beige
